source_path	component_id	category	transform	d4_action	d5_action	ownership_note
.local/share/checkrun/schemas/claude-code-plugin-manifest.schema.json	checkrun	config	keep	keep	remove	owner=dotfiles-dev; source=locked-dotfiles
.local/share/checkrun/schemas/claude-code-settings.schema.json	checkrun	config	keep	keep	remove	owner=dotfiles-dev; source=locked-dotfiles
.local/share/checkrun/schemas/codex-config.schema.json	checkrun	config	keep	keep	remove	owner=dotfiles-dev; source=locked-dotfiles
.local/share/checkrun/schemas/dependabot-v2.schema.json	checkrun	config	keep	keep	remove	owner=dotfiles-dev; source=locked-dotfiles
.local/share/checkrun/schemas/docker-compose.schema.json	checkrun	config	keep	keep	remove	owner=dotfiles-dev; source=locked-dotfiles
.local/share/checkrun/schemas/gemini-cli-settings.schema.json	checkrun	config	keep	keep	remove	owner=dotfiles-dev; source=locked-dotfiles
.local/share/checkrun/schemas/github-action.schema.json	checkrun	config	keep	keep	remove	owner=dotfiles-dev; source=locked-dotfiles
.local/share/checkrun/schemas/github-cli-config.schema.json	checkrun	config	keep	keep	remove	owner=dotfiles-dev; source=locked-dotfiles
.local/share/checkrun/schemas/github-workflow.schema.json	checkrun	config	keep	keep	remove	owner=dotfiles-dev; source=locked-dotfiles
.local/share/checkrun/schemas/gitleaks.schema.json	checkrun	config	keep	keep	remove	owner=dotfiles-dev; source=locked-dotfiles
.local/share/checkrun/schemas/golangci-lint-v2.schema.json	checkrun	config	keep	keep	remove	owner=dotfiles-dev; source=locked-dotfiles
.local/share/checkrun/schemas/hadolint.schema.json	checkrun	config	keep	keep	remove	owner=dotfiles-dev; source=locked-dotfiles
.local/share/checkrun/schemas/hatch.schema.json	checkrun	config	keep	keep	remove	owner=dotfiles-dev; source=locked-dotfiles
.local/share/checkrun/schemas/lazygit.schema.json	checkrun	config	keep	keep	remove	owner=dotfiles-dev; source=locked-dotfiles
.local/share/checkrun/schemas/mise.schema.json	checkrun	config	keep	keep	remove	owner=dotfiles-dev; source=locked-dotfiles
.local/share/checkrun/schemas/nextest-repo.schema.json	checkrun	config	keep	keep	remove	owner=dotfiles-dev; source=locked-dotfiles
.local/share/checkrun/schemas/package.schema.json	checkrun	config	keep	keep	remove	owner=dotfiles-dev; source=locked-dotfiles
.local/share/checkrun/schemas/pre-commit-config.schema.json	checkrun	config	keep	keep	remove	owner=dotfiles-dev; source=locked-dotfiles
.local/share/checkrun/schemas/pyproject.schema.json	checkrun	config	keep	keep	remove	owner=dotfiles-dev; source=locked-dotfiles
.local/share/checkrun/schemas/renovate.schema.json	checkrun	config	keep	keep	remove	owner=dotfiles-dev; source=locked-dotfiles
.local/share/checkrun/schemas/rubocop.schema.json	checkrun	config	keep	keep	remove	owner=dotfiles-dev; source=locked-dotfiles
.local/share/checkrun/schemas/ruff.schema.json	checkrun	config	keep	keep	remove	owner=dotfiles-dev; source=locked-dotfiles
.local/share/checkrun/schemas/rumdl.schema.json	checkrun	config	keep	keep	remove	owner=dotfiles-dev; source=locked-dotfiles
.local/share/checkrun/schemas/rustfmt.schema.json	checkrun	config	keep	keep	remove	owner=dotfiles-dev; source=locked-dotfiles
.local/share/checkrun/schemas/stylua.schema.json	checkrun	config	keep	keep	remove	owner=dotfiles-dev; source=locked-dotfiles
.local/share/checkrun/schemas/taplo.schema.json	checkrun	config	keep	keep	remove	owner=dotfiles-dev; source=locked-dotfiles
.local/share/checkrun/schemas/tox.schema.json	checkrun	config	keep	keep	remove	owner=dotfiles-dev; source=locked-dotfiles
.local/share/checkrun/schemas/typos.schema.json	checkrun	config	keep	keep	remove	owner=dotfiles-dev; source=locked-dotfiles
.local/share/checkrun/schemas/uv.schema.json	checkrun	config	keep	keep	remove	owner=dotfiles-dev; source=locked-dotfiles
.local/share/checkrun/schemas/yamlfmt.schema.json	checkrun	config	keep	keep	remove	owner=dotfiles-dev; source=locked-dotfiles
.local/share/doc/dotfiles/README.md	local-share-doc-dotfiles-readme-md	docs	keep	keep	keep	owner=dotfiles; source=locked-dotfiles
.local/share/doc/dotfiles/dotfiles.md	local-share-doc-dotfiles-dotfiles-md	docs	keep	rewrite	keep	owner=dotfiles; source=locked-dotfiles
.local/share/doc/dotfiles/superpowers/plans/2026-07-06-vscode-tab-consistency.md	repository-history	docs	keep	keep	keep	owner=dotfiles; source=locked-dotfiles
.local/share/doc/dotfiles/superpowers/plans/2026-07-26-full-pr-platform-matrix.md	local-share-doc-dotfiles-superpowers-plans-2026-07-26-full-pr-platform-matrix-md	docs	keep	keep	keep	owner=dotfiles; source=locked-dotfiles
.local/share/doc/dotfiles/superpowers/plans/2026-07-26-termux-ci.md	local-share-doc-dotfiles-superpowers-plans-2026-07-26-termux-ci-md	docs	keep	keep	keep	owner=dotfiles; source=locked-dotfiles
.local/share/doc/dotfiles/superpowers/plans/2026-08-01-et-tunnel-test-reliability.md	local-share-doc-dotfiles-superpowers-plans-2026-08-01-et-tunnel-test-reliability-md	docs	keep	keep	keep	owner=dotfiles; source=locked-dotfiles
.local/share/doc/dotfiles/superpowers/plans/2026-08-02-android-developer-tools.md	repository-history	docs	keep	keep	keep	owner=dotfiles; source=locked-dotfiles
.local/share/doc/dotfiles/superpowers/plans/2026-08-02-dot-update-exit-status.md	local-share-doc-dotfiles-superpowers-plans-2026-08-02-dot-update-exit-status-md	docs	keep	keep	keep	owner=dotfiles; source=locked-dotfiles
.local/share/doc/dotfiles/superpowers/plans/2026-08-02-nvim-terminal-user-var-guard.md	repository-history	docs	keep	keep	keep	owner=dotfiles; source=locked-dotfiles
