repository	destination_path	component_id	category	origin	available_by	ownership_note
dotfiles	.config/dot/merge-hooks.d/sshd/README.md	dot-control	docs	old:.config/dot/merge-hooks.d/sshd/README.md	bootstrap	owner=dotfiles; source=locked-dotfiles; family=base
dotfiles	.config/dot/merge-hooks.d/sshd/sshd_config.d/60-termnav-relay.conf	dot-control	config	old:.config/dot/merge-hooks.d/sshd/sshd_config.d/60-termnav-relay.conf	bootstrap	owner=dotfiles; source=locked-dotfiles; family=base
dotfiles	.config/dot/merge-hooks.d/tmux/README.md	dot-control	docs	old:.config/dot/merge-hooks.d/tmux/README.md	bootstrap	owner=dotfiles; source=locked-dotfiles; family=base
dotfiles	.config/dot/merge-hooks.d/wezterm/README.md	dot-control	docs	old:.config/dot/merge-hooks.d/wezterm/README.md	bootstrap	owner=dotfiles; source=locked-dotfiles; family=base
dotfiles	.config/dot/overlays.d/.gitignore	dot-control	control	old:.config/dot/overlays.d/.gitignore	bootstrap	owner=dotfiles; source=locked-dotfiles
dotfiles	.config/dot/overlays.d/20-nvim.conf	dot-control	control	new	d4	owner=dotfiles; source=new
dotfiles	.config/dot/overlays.d/30-dev.conf	dot-control	control	new	d4	owner=dotfiles; source=new
dotfiles	.config/dot/overlays.d/80-personal.conf	dot-control	control	old:.config/dot/overlays.d/05-personal.conf	d4	owner=dotfiles; source=locked-dotfiles
dotfiles	.config/dot/overlays.d/90-work.conf	dot-control	control	old:.config/dot/overlays.d/10-work.conf	d4	owner=dotfiles; source=locked-dotfiles
dotfiles	.config/dot/overlays.d/90-work.ssh	dot-control	control	old:.config/dot/overlays.d/10-work.ssh	d4	owner=dotfiles; source=locked-dotfiles
dotfiles	.config/dot/overlays.d/README.md	dot-control	docs	old:.config/dot/overlays.d/README.md	d4	owner=dotfiles; source=locked-dotfiles; family=base
dotfiles	.config/dot/profile-selectors.d/README.md	dot-control	docs	new	d4	owner=dotfiles; source=new; family=base
dotfiles	.config/dot/profiles.d/base.conf	dot-control	control	new	d4	owner=dotfiles; source=new
dotfiles	.config/dot/profiles.d/dev.conf	dot-control	control	new	d4	owner=dotfiles; source=new
dotfiles	.config/dot/profiles.d/editor.conf	dot-control	control	new	d4	owner=dotfiles; source=new
dotfiles	.config/dot/README.md	dot-control	docs	old:.config/dot/README.md	d4	owner=dotfiles; source=locked-dotfiles; family=base
dotfiles	.config/ds/README.md	split-docs	docs	old:.config/ds/README.md	d4	owner=dotfiles; source=locked-dotfiles; family=base
dotfiles	.config/htop/htoprc	config-htop-htoprc	config	old:.config/htop/htoprc	bootstrap	owner=dotfiles; source=locked-dotfiles; family=base
dotfiles	.config/ripgrep/config	split-ripgrep	config	old:.config/ripgrep/config	d5	owner=dotfiles; source=locked-dotfiles; family=base
dotfiles	.config/ripgrep/README.md	config-ripgrep-readme-md	docs	old:.config/ripgrep/README.md	bootstrap	owner=dotfiles; source=locked-dotfiles; family=base
dotfiles	.config/shdeps/10-deps.conf	split-shdeps	dependency	old:.config/shdeps/10-deps.conf	d4	owner=dotfiles; source=locked-dotfiles; agent=base-rule-aggregation; family=base
dotfiles	.config/shdeps/hooks.d/cgraf78/dot.sh	config-shdeps-hooks-d-cgraf78-dot-sh	dependency	old:.config/shdeps/hooks.d/cgraf78/dot.sh	bootstrap	owner=dotfiles; source=locked-dotfiles; family=base
dotfiles	.config/shdeps/hooks.d/eza.sh	config-shdeps-hooks-d-eza-sh	dependency	old:.config/shdeps/hooks.d/eza.sh	bootstrap	owner=dotfiles; source=locked-dotfiles; family=base
dotfiles	.config/shdeps/hooks.d/nerd-fonts.sh	config-shdeps-hooks-d-nerd-fonts-sh	dependency	old:.config/shdeps/hooks.d/nerd-fonts.sh	bootstrap	owner=dotfiles; source=locked-dotfiles; family=base
dotfiles	.config/shdeps/hooks.d/rcaloras/bash-preexec.sh	config-shdeps-hooks-d-rcaloras-bash-preexec-sh	dependency	old:.config/shdeps/hooks.d/rcaloras/bash-preexec.sh	bootstrap	owner=dotfiles; source=locked-dotfiles; family=base
dotfiles	.config/shdeps/hooks.d/README.md	split-shdeps	docs	old:.config/shdeps/hooks.d/README.md	d4	owner=dotfiles; source=locked-dotfiles; family=base
dotfiles	.config/shdeps/hooks.d/tmux.sh	tmux-base	dependency	new	d4	owner=dotfiles; source=new; family=tmux-base
dotfiles	.config/shdeps/hooks.d/tmux-plugins/tmux-resurrect.sh	tmux-base	dependency	old:.config/shdeps/hooks.d/tmux-plugins/tmux-resurrect.sh	bootstrap	owner=dotfiles; source=locked-dotfiles; family=base
dotfiles	.config/shdeps/hooks.d/wezterm.sh	terminal-navigation	dependency	old:.config/shdeps/hooks.d/wezterm.sh	bootstrap	owner=dotfiles; source=locked-dotfiles; family=base
dotfiles	.config/shdeps/hooks.d/xclip.sh	config-shdeps-hooks-d-xclip-sh	dependency	old:.config/shdeps/hooks.d/xclip.sh	bootstrap	owner=dotfiles; source=locked-dotfiles; family=base
dotfiles	.config/shdeps/README.md	split-shdeps	docs	old:.config/shdeps/README.md	d4	owner=dotfiles; source=locked-dotfiles; family=base
dotfiles	.config/shell/env-noninteractive.sh	shell-base	config	old:.config/shell/env-noninteractive.sh	bootstrap	owner=dotfiles; source=locked-dotfiles; family=base
dotfiles	.config/shell/env.d/50-core.sh	split-shell-core-env	config	old:.config/shell/env.d/50-core.sh	d5	owner=dotfiles; source=locked-dotfiles; family=base
dotfiles	.config/shell/env.d/55-homebrew.sh	shell-base	config	old:.config/shell/env.d/55-homebrew.sh	bootstrap	owner=dotfiles; source=locked-dotfiles; family=base
dotfiles	.config/shell/env.d/60-tools.sh	split-shell	config	old:.config/shell/env.d/60-tools.sh	d5	owner=dotfiles; source=locked-dotfiles; family=base
dotfiles	.config/shell/env.d/70-platform.sh	shell-base	config	old:.config/shell/env.d/70-platform.sh	bootstrap	owner=dotfiles; source=locked-dotfiles; family=base
dotfiles	.config/shell/env.d/90-path.sh	shell-base	config	old:.config/shell/env.d/90-path.sh	bootstrap	owner=dotfiles; source=locked-dotfiles; family=base
dotfiles	.config/shell/env.d/README.md	split-docs	docs	old:.config/shell/env.d/README.md	d4	owner=dotfiles; source=locked-dotfiles; family=base
dotfiles	.config/shell/interactive.d/50-aliases.sh	split-shell	config	old:.config/shell/interactive.d/50-aliases.sh	d5	owner=dotfiles; source=locked-dotfiles; family=base
dotfiles	.config/shell/interactive.d/51-aliases-linux.sh	shell-base	config	old:.config/shell/interactive.d/51-aliases-linux.sh	bootstrap	owner=dotfiles; source=locked-dotfiles; family=base
dotfiles	.config/shell/interactive.d/51-aliases-macos.sh	shell-base	config	old:.config/shell/interactive.d/51-aliases-macos.sh	bootstrap	owner=dotfiles; source=locked-dotfiles; family=base
dotfiles	.config/shell/interactive.d/51-aliases-wsl.sh	shell-base	config	old:.config/shell/interactive.d/51-aliases-wsl.sh	bootstrap	owner=dotfiles; source=locked-dotfiles; family=base
dotfiles	.config/shell/interactive.d/52-cursor.sh	shell-base	config	old:.config/shell/interactive.d/52-cursor.sh	bootstrap	owner=dotfiles; source=locked-dotfiles; family=base
dotfiles	.config/shell/interactive.d/53-termnav.sh	terminal-navigation	config	old:.config/shell/interactive.d/53-termnav.sh	bootstrap	owner=dotfiles; source=locked-dotfiles; family=base
dotfiles	.config/shell/interactive.d/54-tool-init.sh	split-shell	config	old:.config/shell/interactive.d/54-tool-init.sh	d5	owner=dotfiles; source=locked-dotfiles; family=base
dotfiles	.config/shell/interactive.d/55-ssh.sh	shell-base	config	old:.config/shell/interactive.d/55-ssh.sh	bootstrap	owner=dotfiles; source=locked-dotfiles; family=base
dotfiles	.config/shell/interactive.d/56-dot.sh	shell-base	config	old:.config/shell/interactive.d/56-dot.sh	bootstrap	owner=dotfiles; source=locked-dotfiles; family=base
dotfiles	.config/shell/interactive.d/57-marks.sh	shell-base	config	old:.config/shell/interactive.d/57-marks.sh	bootstrap	owner=dotfiles; source=locked-dotfiles; family=base
dotfiles	.config/shell/interactive.d/59-prompt.sh	shell-base	config	old:.config/shell/interactive.d/59-prompt.sh	bootstrap	owner=dotfiles; source=locked-dotfiles; family=base
dotfiles	.config/shell/interactive.d/60-prompt.bash	shell-base	config	old:.config/shell/interactive.d/60-prompt.bash	bootstrap	owner=dotfiles; source=locked-dotfiles; family=base
